Packet number,Battery voltage (V),Thermometer (degrees C)
0,3.592529,35.92188
4,3.59082,35.92188
8,3.587646,35.95703
13,3.592529,35.92188
17,3.589355,35.92188
21,3.592529,35.86328
25,3.592529,35.92188
29,3.592529,35.95703
33,3.592529,35.98438
37,3.592529,35.92188
41,3.592529,35.95703
45,3.592529,35.92188
49,3.587646,35.89063
53,3.592529,35.92188
57,3.592529,35.86328
61,3.589355,35.92188
65,3.59082,35.98438
69,3.59082,35.89063
73,3.592529,35.92188
77,3.592529,35.92188
81,3.589355,35.89063
85,3.59082,35.92188
89,3.59082,35.95703
93,3.589355,35.98438
97,3.59082,35.92188
101,3.59082,35.95703
105,3.59082,35.92188
109,3.59082,35.95703
113,3.59082,35.89063
117,3.587646,35.92188
122,3.593994,35.95703
126,3.593994,35.92188
130,3.593994,35.95703
134,3.593994,35.95703
138,3.595703,35.92188
142,3.595703,35.95703
146,3.595703,35.98438
150,3.597412,35.95703
154,3.597412,35.89063
158,3.597412,35.92188
162,3.597412,35.89063
166,3.597412,35.98438
170,3.598877,35.95703
174,3.597412,35.89063
178,3.597412,35.98438
182,3.597412,35.89063
186,3.597412,35.98438
190,3.597412,35.89063
194,3.597412,35.89063
198,3.598877,35.98438
202,3.598877,35.95703
206,3.598877,35.92188
210,3.598877,35.92188
214,3.598877,35.95703
218,3.598877,35.92188
222,3.598877,35.95703
226,3.598877,35.92188
231,3.598877,35.92188
235,3.600586,35.95703
239,3.600586,35.92188
243,3.600586,35.89063
247,3.600586,35.92188
251,3.600586,35.92188
255,3.600586,35.95703
259,3.600586,35.92188
263,3.600586,35.95703
267,3.600586,35.92188
271,3.600586,35.92188
275,3.600586,35.89063
279,3.600586,35.92188
283,3.600586,35.89063
287,3.600586,35.98438
291,3.600586,35.98438
295,3.600586,35.89063
299,3.600586,35.92188
303,3.600586,35.89063
307,3.600586,35.92188
311,3.597412,35.92188
315,3.600586,35.95703
319,3.598877,35.92188
323,3.598877,35.89063
327,3.598877,35.95703
331,3.597412,35.92188
335,3.597412,35.95703
340,3.595703,35.92188
344,3.592529,35.95703
348,3.587646,35.89063
352,3.587646,35.92188
356,3.59082,35.95703
360,3.59082,35.92188
364,3.589355,35.95703
368,3.589355,35.92188
372,3.59082,35.92188
376,3.589355,35.95703
380,3.589355,35.92188
384,3.587646,35.95703
388,3.59082,35.89063
392,3.59082,35.92188
396,3.59082,35.95703
400,3.589355,35.86328
404,3.59082,35.89063
408,3.59082,35.92188
412,3.59082,35.98438
416,3.59082,35.89063
420,3.59082,35.98438
424,3.59082,35.92188
428,3.59082,35.89063
432,3.59082,35.92188
436,3.59082,35.95703
440,3.592529,35.92188
444,3.592529,35.92188
449,3.595703,35.95703
453,3.595703,35.92188
457,3.595703,35.95703
461,3.595703,35.92188
465,3.595703,35.92188
469,3.595703,35.92188
473,3.593994,35.92188
477,3.593994,35.89063
481,3.593994,35.92188
485,3.593994,35.98438
489,3.587646,35.95703
493,3.592529,35.92188
497,3.589355,35.89063
501,3.592529,35.92188
505,3.59082,35.92188
509,3.592529,35.89063
513,3.592529,35.98438
517,3.59082,35.89063
521,3.592529,35.95703
525,3.592529,35.98438
529,3.592529,35.89063
533,3.592529,35.92188
537,3.592529,35.89063
541,3.59082,35.95703
545,3.59082,35.92188
549,3.59082,35.89063
553,3.581299,35.92188
558,3.59082,35.89063
562,3.59082,35.95703
566,3.585938,35.92188
570,3.59082,35.89063
574,3.59082,35.98438
578,3.59082,35.95703
582,3.59082,35.89063
586,3.59082,35.98438
590,3.59082,35.89063
594,3.59082,35.92188
598,3.585938,35.95703
602,3.587646,35.89063
606,3.59082,35.92188
610,3.59082,35.95703
614,3.59082,35.92188
618,3.59082,35.92188
622,3.59082,35.95703
626,3.59082,35.92188
630,3.59082,35.95703
634,3.59082,35.86328
638,3.59082,35.92188
642,3.59082,35.89063
646,3.59082,35.92188
650,3.592529,35.89063
654,3.592529,35.86328
658,3.593994,35.98438
662,3.593994,35.95703
667,3.593994,35.92188
671,3.593994,35.89063
675,3.593994,35.98438
679,3.593994,35.92188
683,3.595703,35.95703
687,3.595703,35.92188
691,3.595703,35.95703
695,3.595703,35.92188
699,3.595703,35.92188
703,3.595703,35.95703
707,3.595703,35.92188
711,3.597412,35.89063
715,3.597412,35.92188
719,3.597412,35.92188
723,3.597412,35.95703
727,3.597412,35.92188
731,3.597412,35.89063
735,3.597412,35.89063
739,3.593994,35.92188
743,3.597412,35.89063
747,3.597412,35.92188
751,3.597412,35.89063
755,3.597412,35.98438
759,3.597412,35.92188
763,3.598877,35.89063
767,3.598877,35.98438
771,3.598877,35.95703
776,3.598877,35.92188
780,3.600586,35.86328
784,3.600586,35.89063
788,3.600586,35.92188
792,3.600586,35.95703
796,3.600586,35.89063
800,3.600586,35.92188
804,3.600586,35.89063
808,3.600586,35.92188
812,3.600586,35.89063
816,3.600586,35.98438
820,3.600586,35.92188
824,3.600586,35.89063
828,3.600586,35.92188
832,3.600586,35.92188
836,3.600586,35.89063
840,3.600586,35.92188
844,3.600586,35.89063
848,3.595703,35.92188
852,3.600586,35.92188
856,3.600586,35.98438
860,3.600586,35.92188
864,3.600586,36.01563
868,3.600586,35.92188
872,3.600586,35.92188
876,3.600586,35.95703
880,3.598877,35.92188
885,3.597412,35.95703
889,3.597412,35.92188
893,3.59082,35.98438
897,3.592529,36.01563
901,3.593994,35.92188
905,3.592529,35.95703
909,3.589355,35.98438
913,3.59082,35.86328
917,3.59082,35.95703
921,3.587646,35.92188
925,3.584473,35.89063
929,3.59082,35.98438
933,3.59082,35.98438
937,3.587646,35.95703
941,3.59082,35.92188
945,3.59082,35.95703
949,3.59082,35.89063
953,3.59082,35.92188
957,3.59082,35.89063
961,3.592529,35.92188
965,3.592529,35.95703
969,3.593994,35.89063
973,3.593994,35.98438
977,3.593994,35.95703
981,3.593994,35.92188
985,3.595703,35.89063
989,3.595703,35.95703
994,3.597412,35.92188
998,3.597412,35.89063
1002,3.595703,35.98438
1006,3.595703,35.89063
1010,3.59082,35.95703
1014,3.595703,35.98438
1018,3.593994,35.95703
1022,3.593994,35.92188
1026,3.593994,35.92188
1030,3.595703,35.89063
1034,3.593994,35.98438
1038,3.593994,35.95703
1042,3.587646,35.98438
1046,3.593994,35.98438
1050,3.592529,35.89063
1054,3.592529,35.92188
1058,3.592529,35.89063
1062,3.593994,35.98438
1066,3.592529,35.92188
1070,3.587646,35.89063
1074,3.587646,35.92188
1078,3.592529,35.95703
1082,3.59082,35.92188
1086,3.59082,35.92188
1090,3.59082,35.95703
1094,3.59082,35.98438
1098,3.592529,35.89063
1103,3.593994,35.92188
1107,3.593994,35.92188
1111,3.593994,35.95703
1115,3.59082,35.92188
1119,3.592529,35.95703
1123,3.593994,35.92188
1127,3.589355,35.92188
1131,3.592529,35.95703
1135,3.592529,35.92188
1139,3.592529,35.95703
1143,3.582764,35.95703
1147,3.59082,35.98438
1151,3.592529,35.83203
1155,3.592529,35.92188
1159,3.592529,36.01563
1163,3.593994,35.92188
1167,3.593994,35.92188
1171,3.593994,35.95703
1175,3.593994,35.92188
1179,3.593994,35.95703
1183,3.593994,35.95703
1187,3.592529,35.92188
1191,3.593994,35.89063
1195,3.592529,35.92188
1199,3.592529,35.95703
1203,3.592529,35.86328
1207,3.587646,35.92188
1212,3.59082,35.89063
1216,3.593994,35.92188
1220,3.587646,35.95703
1224,3.592529,35.92188
1228,3.592529,35.92188
1232,3.593994,35.89063
1236,3.593994,35.92188
1240,3.593994,35.89063
1244,3.593994,35.95703
1248,3.593994,35.92188
1252,3.595703,35.95703
1256,3.595703,35.98438
1260,3.595703,35.92188
1264,3.597412,35.92188
1268,3.597412,35.86328
1272,3.597412,35.89063
1276,3.597412,35.86328
1280,3.597412,35.98438
1284,3.597412,35.89063
1288,3.597412,35.92188
1292,3.597412,35.95703
1296,3.597412,35.92188
1300,3.597412,35.92188
1304,3.597412,35.92188
1308,3.597412,35.92188
1312,3.598877,35.95703
1316,3.598877,35.86328
1321,3.598877,35.92188
1325,3.598877,35.92188
1329,3.598877,35.98438
1333,3.598877,35.89063
1337,3.598877,35.92188
1341,3.600586,35.92188
1345,3.598877,35.89063
1349,3.598877,35.86328
1353,3.600586,35.95703
1357,3.600586,35.89063
1361,3.598877,35.92188
1365,3.600586,35.89063
1369,3.600586,35.92188
1373,3.600586,35.95703
1377,3.600586,35.95703
1381,3.598877,35.86328
1385,3.598877,36.01563
1389,3.598877,35.92188
1393,3.598877,35.95703
1397,3.598877,35.89063
1401,3.600586,35.92188
1405,3.600586,35.89063
1409,3.600586,35.92188
1413,3.598877,35.95703
1417,3.598877,35.89063
1421,3.598877,35.92188
1425,3.595703,35.89063
1430,3.595703,35.98438
1434,3.595703,35.89063
1438,3.59082,35.89063
1442,3.589355,35.98438
1446,3.59082,35.95703
1450,3.59082,35.98438
1454,3.589355,35.92188
1458,3.59082,35.95703
1462,3.589355,36.04297
1466,3.59082,35.89063
1470,3.59082,35.92188
1474,3.59082,35.86328
1478,3.59082,35.95703
1482,3.59082,35.92188
1486,3.59082,35.95703
1490,3.592529,35.86328
1494,3.592529,35.98438
1498,3.592529,35.89063
1502,3.593994,35.92188
1506,3.593994,35.95703
1510,3.593994,35.86328
1514,3.595703,35.92188
