Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
2,-140.1644,24.09853,-144.4617
6,-140.1611,24.09731,-144.4614
10,-140.1337,24.0736,-144.4583
15,-140.1271,24.07115,-144.4577
19,-140.1214,24.07455,-144.4578
23,-140.1181,24.07332,-144.4575
27,-140.1168,24.07632,-144.456
31,-140.1171,24.07765,-144.4593
35,-140.1125,24.07942,-144.4576
39,-140.1161,24.08197,-144.4612
43,-140.1147,24.08496,-144.4597
47,-140.118,24.08618,-144.46
51,-140.1213,24.0874,-144.4604
55,-140.1233,24.09163,-144.4592
59,-140.1279,24.08985,-144.461
63,-140.1323,24.08945,-144.4594
67,-140.1319,24.08813,-144.4561
71,-140.1302,24.0871,-144.4515
75,-140.1331,24.087,-144.4485
79,-140.1345,24.08401,-144.45
83,-140.1328,24.08568,-144.4453
87,-140.1328,24.08568,-144.4453
91,-140.1325,24.08435,-144.442
95,-140.1325,24.08435,-144.442
99,-140.1292,24.08313,-144.4417
103,-140.1292,24.08313,-144.4417
107,-140.1295,24.08445,-144.4449
111,-140.1295,24.08445,-144.4449
115,-140.1295,24.08445,-144.4449
119,-140.1073,24.07904,-144.4436
124,-140.104,24.07781,-144.4432
128,-140.1007,24.07659,-144.4429
132,-140.0974,24.07537,-144.4426
136,-140.0949,24.07998,-144.4431
140,-140.0949,24.07998,-144.4431
144,-140.0949,24.07998,-144.4431
148,-140.0949,24.07998,-144.4431
152,-140.0949,24.07998,-144.4431
156,-140.0936,24.08298,-144.4416
160,-140.0969,24.08421,-144.442
164,-140.0969,24.08421,-144.442
168,-140.0936,24.08298,-144.4416
172,-140.0933,24.08166,-144.4384
176,-140.0946,24.07866,-144.4398
180,-140.0946,24.07866,-144.4398
184,-140.0923,24.07312,-144.4377
188,-140.0923,24.07312,-144.4377
192,-140.0891,24.07189,-144.4373
196,-140.0891,24.07189,-144.4373
200,-140.084,24.06964,-144.4324
204,-140.084,24.06964,-144.4324
208,-140.0854,24.06665,-144.4338
212,-140.0868,24.06635,-144.4352
216,-140.0857,24.06797,-144.4371
220,-140.0843,24.07097,-144.4357
224,-140.0824,24.06675,-144.4368
228,-140.062,24.0495,-144.4375
233,-140.0587,24.04828,-144.4372
237,-140.0522,24.04583,-144.4366
241,-140.0474,24.0449,-144.4349
245,-140.0452,24.03936,-144.4327
249,-140.0452,24.03936,-144.4327
253,-140.0452,24.03936,-144.4327
257,-140.0481,24.03926,-144.4298
261,-140.0468,24.04225,-144.4283
265,-140.0468,24.04225,-144.4283
269,-140.0487,24.04647,-144.4272
273,-140.0487,24.04647,-144.4272
277,-140.0487,24.04647,-144.4272
281,-140.0487,24.04647,-144.4272
285,-140.0501,24.04347,-144.4287
289,-140.0465,24.04093,-144.425
293,-140.0465,24.04093,-144.425
297,-140.0445,24.03671,-144.4262
301,-140.0398,24.03578,-144.4245
305,-140.0408,24.03146,-144.4227
309,-140.0408,24.03146,-144.4227
313,-140.0389,24.02724,-144.4238
317,-140.0353,24.02469,-144.4202
321,-140.0353,24.02469,-144.4202
325,-140.032,24.02347,-144.4199
329,-140.03,24.01925,-144.421
333,-140.0286,24.01954,-144.4197
337,-140.025,24.01699,-144.4161
342,-140.025,24.01699,-144.4161
346,-140.0227,24.01145,-144.4139
350,-140.0227,24.01145,-144.4139
354,-140.0177,24.0092,-144.409
358,-140.0157,24.00498,-144.4101
362,-140.0121,24.00243,-144.4065
366,-140.0121,24.00243,-144.4065
370,-140.0102,23.99821,-144.4077
374,-140.0066,23.99566,-144.4041
378,-140.0079,23.99267,-144.4055
382,-140.0042,23.98741,-144.402
386,-140.0023,23.9832,-144.4032
390,-140,23.97765,-144.401
394,-139.9964,23.9751,-144.3974
398,-139.9945,23.97088,-144.3985
402,-139.9908,23.96563,-144.3951
406,-139.9852,23.95886,-144.3926
410,-139.9843,23.95032,-144.3919
414,-139.9824,23.9461,-144.393
418,-139.9788,23.94355,-144.3894
422,-139.9751,23.9383,-144.386
426,-139.9698,23.93286,-144.3868
430,-139.9663,23.9303,-144.3832
434,-139.9629,23.92637,-144.383
438,-139.956,23.9226,-144.3791
442,-139.9541,23.91838,-144.3802
446,-139.9305,23.87602,-144.3666
451,-139.925,23.86926,-144.3642
455,-139.9208,23.85949,-144.3632
459,-139.9166,23.84973,-144.3622
463,-139.9109,23.84025,-144.3598
467,-139.9067,23.83048,-144.3588
471,-139.9023,23.81939,-144.3546
475,-139.892,23.81168,-144.3505
479,-139.8878,23.80192,-144.3495
483,-139.8789,23.79122,-144.3468
487,-139.8744,23.78012,-144.3426
491,-139.8669,23.76913,-144.3413
495,-139.8613,23.75965,-144.3389
499,-139.8539,23.74866,-144.3376
503,-139.8433,23.73962,-144.3303
507,-139.8311,23.72769,-144.3273
511,-139.8187,23.71443,-144.3211
515,-139.8032,23.70127,-144.3179
519,-139.7875,23.68679,-144.3114
523,-139.7734,23.67064,-144.3096
527,-139.7557,23.65193,-144.3042
531,-139.7336,23.63361,-144.3005
535,-139.7133,23.61634,-144.3014
539,-139.6851,23.59962,-144.3002
543,-139.6601,23.58141,-144.2995
547,-139.6308,23.5663,-144.3003
551,-139.6014,23.55119,-144.3011
555,-139.4541,23.46981,-144.3044
560,-139.4338,23.45255,-144.3054
564,-139.4197,23.43639,-144.3037
568,-139.4039,23.41874,-144.303
572,-139.3865,23.40136,-144.301
576,-139.3676,23.3811,-144.3035
580,-139.3497,23.35651,-144.3042
584,-139.3315,23.33058,-144.3016
588,-139.3083,23.30235,-144.2941
592,-139.2868,23.2752,-144.2912
596,-139.2654,23.24804,-144.2884
600,-139.2382,23.22427,-144.2858
604,-139.2097,23.20348,-144.2816
608,-139.1802,23.18702,-144.2793
612,-139.1493,23.17355,-144.2756
616,-139.1206,23.16564,-144.2739
620,-139.0939,23.16194,-144.2711
624,-139.0668,23.16839,-144.2708
628,-139.0413,23.17459,-144.2718
632,-139.0196,23.18742,-144.2794
636,-138.9941,23.20786,-144.2861
640,-138.9789,23.23603,-144.2966
644,-138.9627,23.27167,-144.3032
648,-138.9474,23.29985,-144.3138
652,-138.9299,23.32248,-144.3223
656,-138.9131,23.33492,-144.335
660,-138.9058,23.33367,-144.3486
664,-138.8912,23.26196,-144.2767
669,-138.8912,23.26159,-144.238
673,-138.8881,23.26312,-144.1932
677,-138.8869,23.26885,-144.1472
681,-138.8909,23.28004,-144.1003
685,-138.9025,23.29206,-144.052
689,-138.9212,23.31376,-144.0017
693,-138.9434,23.33806,-143.9549
697,-138.9771,23.36717,-143.9135
701,-139.0137,23.39128,-143.884
705,-139.0666,23.38192,-143.8777
709,-139.1537,23.33031,-143.9039
713,-139.2504,23.26499,-143.931
