Packet number,Battery voltage (V),Thermometer (degrees C)
2,3.605469,35.58594
6,3.606934,35.52344
10,3.606934,35.55469
14,3.606934,35.52344
19,3.608643,35.55469
23,3.608643,35.52344
27,3.608643,35.58594
31,3.608643,35.55469
35,3.608643,35.58594
39,3.608643,35.55469
43,3.608643,35.58594
47,3.608643,35.58594
51,3.608643,35.55469
55,3.608643,35.58594
59,3.608643,35.61719
63,3.608643,35.52344
67,3.608643,35.58594
71,3.608643,35.55469
75,3.608643,35.52344
79,3.610107,35.49609
83,3.610107,35.52344
87,3.610107,35.58594
91,3.610107,35.55469
95,3.610107,35.58594
99,3.608643,35.55469
103,3.610107,35.55469
107,3.610107,35.58594
111,3.610107,35.55469
115,3.610107,35.52344
119,3.610107,35.55469
123,3.610107,35.55469
128,3.610107,35.58594
132,3.610107,35.55469
136,3.610107,35.58594
140,3.610107,35.61719
144,3.608643,35.55469
148,3.610107,35.58594
152,3.610107,35.55469
156,3.608643,35.58594
160,3.608643,35.49609
164,3.608643,35.55469
168,3.608643,35.58594
172,3.608643,35.55469
176,3.608643,35.58594
180,3.608643,35.55469
184,3.606934,35.49609
188,3.606934,35.58594
192,3.606934,35.61719
196,3.606934,35.58594
200,3.606934,35.58594
204,3.605469,35.55469
208,3.60376,35.52344
212,3.60376,35.61719
216,3.60376,35.58594
220,3.60376,35.55469
224,3.60376,35.49609
228,3.60376,35.52344
232,3.60376,35.49609
237,3.60376,35.52344
241,3.60376,35.55469
245,3.60376,35.55469
249,3.60376,35.52344
253,3.60376,35.55469
257,3.605469,35.52344
261,3.605469,35.52344
265,3.605469,35.55469
269,3.605469,35.52344
273,3.606934,35.49609
277,3.606934,35.58594
281,3.606934,35.61719
285,3.606934,35.55469
289,3.605469,35.58594
293,3.606934,35.49609
297,3.606934,35.55469
301,3.605469,35.52344
305,3.605469,35.55469
309,3.605469,35.52344
313,3.605469,35.55469
317,3.605469,35.55469
321,3.605469,35.55469
325,3.605469,35.55469
329,3.605469,35.52344
333,3.605469,35.55469
337,3.606934,35.55469
341,3.606934,35.58594
346,3.608643,35.61719
350,3.608643,35.58594
354,3.608643,35.55469
358,3.608643,35.61719
362,3.608643,35.58594
366,3.608643,35.55469
370,3.608643,35.52344
374,3.610107,35.49609
378,3.608643,35.49609
382,3.608643,35.52344
386,3.610107,35.55469
390,3.610107,35.52344
394,3.610107,35.58594
398,3.608643,35.55469
402,3.608643,35.52344
406,3.610107,35.55469
410,3.608643,35.52344
414,3.608643,35.58594
418,3.608643,35.55469
422,3.606934,35.58594
426,3.606934,35.55469
430,3.608643,35.58594
434,3.606934,35.52344
438,3.606934,35.55469
442,3.606934,35.52344
446,3.606934,35.55469
450,3.606934,35.64844
455,3.605469,35.64844
459,3.605469,35.49609
463,3.605469,35.58594
467,3.605469,35.55469
471,3.605469,35.58594
475,3.60376,35.52344
479,3.605469,35.55469
483,3.605469,35.52344
487,3.605469,35.55469
491,3.605469,35.49609
495,3.605469,35.58594
499,3.606934,35.55469
503,3.605469,35.58594
507,3.605469,35.55469
511,3.606934,35.55469
515,3.606934,35.64844
519,3.605469,35.55469
523,3.605469,35.52344
527,3.605469,35.55469
531,3.605469,35.55469
535,3.605469,35.58594
539,3.605469,35.55469
543,3.605469,35.52344
547,3.605469,35.49609
551,3.605469,35.55469
555,3.605469,35.58594
559,3.605469,35.55469
564,3.606934,35.52344
568,3.606934,35.55469
572,3.608643,35.55469
576,3.608643,35.52344
580,3.608643,35.61719
