Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
3,-0.125,0,0.125,0.015625,0.001953125,-1.038086,0.1557617,-0.8183594,0.05175781
7,0,0,0,0.015625,0.001953125,-1.030273,0.1557617,-0.8183594,0.05175781
11,0,0.125,-0.125,0.01953125,0.001953125,-1.03418,0.1586914,-0.8212891,0.05175781
15,0,0,-0.0625,0.01171875,0.005859375,-1.038086,0.1586914,-0.8198242,0.05175781
20,-0.125,0.1875,0,0.01953125,0.001953125,-1.041992,0.1547852,-0.8212891,0.05322266
24,0.125,0,0.0625,0.015625,0.001953125,-1.03418,0.1547852,-0.8212891,0.05322266
28,0,0,-0.125,0.015625,-0.001464844,-1.038086,0.1547852,-0.8173828,0.05419922
32,0,0.0625,0.0625,0.01953125,0.005859375,-1.03418,0.1557617,-0.8198242,0.05419922
36,0.0625,-0.125,-0.0625,0.0078125,0.005859375,-1.038086,0.1557617,-0.8198242,0.05419922
40,0.1875,0,0,0.01953125,-0.001464844,-1.030273,0.1557617,-0.8173828,0.05029297
44,0.25,0,0.25,0.015625,-0.005371094,-1.030273,0.1547852,-0.8198242,0.05322266
48,0,0,0,0.01171875,0.001953125,-1.045898,0.1547852,-0.8198242,0.05322266
52,0.25,-0.0625,0,0.015625,0.005859375,-1.049805,0.1572266,-0.8198242,0.05419922
56,-0.1875,0,0,0.015625,-0.005371094,-1.045898,0.1533203,-0.8222656,0.05322266
60,-0.0625,0,0.25,0.01953125,-0.001464844,-1.049805,0.1533203,-0.8222656,0.05322266
64,0.125,0.125,0.0625,0.01953125,-0.001464844,-1.049805,0.1547852,-0.8173828,0.05175781
68,-0.0625,0.125,-0.125,0.015625,-0.001464844,-1.049805,0.1572266,-0.8183594,0.05175781
72,-0.375,0.125,0.25,0.01953125,-0.001464844,-1.041992,0.1572266,-0.8183594,0.05175781
76,-0.0625,0.3125,0.125,0.01171875,0.005859375,-1.041992,0.1572266,-0.8212891,0.05419922
80,0,0.1875,0,0.015625,-0.001464844,-1.045898,0.1547852,-0.8183594,0.05322266
84,-0.375,0.125,0,0.015625,-0.005371094,-1.041992,0.1547852,-0.8183594,0.05322266
88,-0.25,0.125,0.125,0.0234375,0.001953125,-1.038086,0.1572266,-0.8212891,0.05322266
92,-0.1875,0.125,-0.0625,0.03125,0.01367188,-1.019043,0.1572266,-0.8066406,0.05712891
96,-0.5,1,-0.125,-0.01904297,-0.02880859,-0.980957,0.1572266,-0.8066406,0.05712891
100,0,-0.9375,0.0625,0.015625,-0.01708984,-1.019043,0.1572266,-0.8183594,0.05175781
104,-0.1875,-0.3125,0,0.02734375,0.001953125,-1.068848,0.1572266,-0.8183594,0.05175781
108,-0.375,-0.25,-0.0625,0.01953125,-0.005371094,-1.072754,0.1572266,-0.8183594,0.05175781
112,-0.25,0.75,-0.1875,0.01171875,-0.005371094,-1.03418,0.1586914,-0.8198242,0.04882813
116,-0.125,-0.0625,0.0625,0.01953125,-0.001464844,-1.030273,0.1547852,-0.8212891,0.05322266
120,0.0625,-0.1875,-0.0625,0.01953125,0.001953125,-1.053711,0.1547852,-0.8212891,0.05322266
124,-0.0625,-0.1875,0.0625,0.01953125,0.005859375,-1.045898,0.1547852,-0.8183594,0.05175781
129,0.0625,0,0,0.015625,0.009765625,-1.038086,0.1557617,-0.8212891,0.05175781
133,-0.25,-0.0625,0.0625,0.015625,0.001953125,-1.038086,0.1547852,-0.8198242,0.05322266
137,-0.0625,-0.0625,-0.0625,0.01953125,0.001953125,-1.041992,0.1547852,-0.8198242,0.05322266
141,0,-0.125,0,0.01953125,0.005859375,-1.045898,0.1547852,-0.8183594,0.05322266
145,0,-0.0625,0,0.01953125,0.001953125,-1.038086,0.1557617,-0.8212891,0.05322266
149,0,-0.1875,0.125,0.015625,-0.001464844,-1.030273,0.1557617,-0.8212891,0.05322266
153,0,-0.1875,0,0.01953125,0.001953125,-1.041992,0.1572266,-0.8183594,0.05322266
157,0.1875,-0.1875,0,0.015625,0.001953125,-1.038086,0.1572266,-0.8183594,0.05419922
161,0,-0.1875,0,0.0234375,-0.001464844,-1.038086,0.1572266,-0.8183594,0.05419922
165,0.125,-0.125,0.0625,0.015625,-0.005371094,-1.038086,0.1572266,-0.8198242,0.05566406
169,0,-0.1875,0.0625,0.01171875,0.001953125,-1.030273,0.1572266,-0.8183594,0.05419922
173,0,-0.3125,-0.0625,0.015625,0.001953125,-1.03418,0.1572266,-0.8183594,0.05419922
