Packet number,Year,Month,Day,Hours,Minutes,Seconds
1,2000,1,1,0,49,29
5,2000,1,1,0,49,29
9,2000,1,1,0,49,29
13,2000,1,1,0,49,29
18,2000,1,1,0,49,29
22,2000,1,1,0,49,29
26,2000,1,1,0,49,29
30,2000,1,1,0,49,29
34,2000,1,1,0,49,29
38,2000,1,1,0,49,29
42,2000,1,1,0,49,29
46,2000,1,1,0,49,29
50,2000,1,1,0,49,29
54,2000,1,1,0,49,29
58,2000,1,1,0,49,29
62,2000,1,1,0,49,29
66,2000,1,1,0,49,29
70,2000,1,1,0,49,29
74,2000,1,1,0,49,29
78,2000,1,1,0,49,29
82,2000,1,1,0,49,29
86,2000,1,1,0,49,29
90,2000,1,1,0,49,29
94,2000,1,1,0,49,29
98,2000,1,1,0,49,29
102,2000,1,1,0,49,29
106,2000,1,1,0,49,29
110,2000,1,1,0,49,29
114,2000,1,1,0,49,29
118,2000,1,1,0,49,29
122,2000,1,1,0,49,29
127,2000,1,1,0,49,29
131,2000,1,1,0,49,29
135,2000,1,1,0,49,29
139,2000,1,1,0,49,29
143,2000,1,1,0,49,29
147,2000,1,1,0,49,29
151,2000,1,1,0,49,29
155,2000,1,1,0,49,29
159,2000,1,1,0,49,29
163,2000,1,1,0,49,30
167,2000,1,1,0,49,30
171,2000,1,1,0,49,30
175,2000,1,1,0,49,30
179,2000,1,1,0,49,30
183,2000,1,1,0,49,30
187,2000,1,1,0,49,30
191,2000,1,1,0,49,30
195,2000,1,1,0,49,30
199,2000,1,1,0,49,30
203,2000,1,1,0,49,30
207,2000,1,1,0,49,30
211,2000,1,1,0,49,30
215,2000,1,1,0,49,30
219,2000,1,1,0,49,30
223,2000,1,1,0,49,30
227,2000,1,1,0,49,30
231,2000,1,1,0,49,30
236,2000,1,1,0,49,30
240,2000,1,1,0,49,30
244,2000,1,1,0,49,30
248,2000,1,1,0,49,30
252,2000,1,1,0,49,30
256,2000,1,1,0,49,30
260,2000,1,1,0,49,30
264,2000,1,1,0,49,30
268,2000,1,1,0,49,30
272,2000,1,1,0,49,30
276,2000,1,1,0,49,30
280,2000,1,1,0,49,30
284,2000,1,1,0,49,30
288,2000,1,1,0,49,30
292,2000,1,1,0,49,30
296,2000,1,1,0,49,30
300,2000,1,1,0,49,30
304,2000,1,1,0,49,30
308,2000,1,1,0,49,30
312,2000,1,1,0,49,30
316,2000,1,1,0,49,30
320,2000,1,1,0,49,30
324,2000,1,1,0,49,30
328,2000,1,1,0,49,30
332,2000,1,1,0,49,30
336,2000,1,1,0,49,30
340,2000,1,1,0,49,30
345,2000,1,1,0,49,30
349,2000,1,1,0,49,30
353,2000,1,1,0,49,30
357,2000,1,1,0,49,30
361,2000,1,1,0,49,30
365,2000,1,1,0,49,30
