Packet number,Error code,Error message
17,6,Bluetooth transmit buffer overrun.
126,6,Bluetooth transmit buffer overrun.
235,6,Bluetooth transmit buffer overrun.
344,6,Bluetooth transmit buffer overrun.
453,6,Bluetooth transmit buffer overrun.
562,6,Bluetooth transmit buffer overrun.
671,6,Bluetooth transmit buffer overrun.
780,6,Bluetooth transmit buffer overrun.
889,6,Bluetooth transmit buffer overrun.
998,6,Bluetooth transmit buffer overrun.
1107,6,Bluetooth transmit buffer overrun.
1216,6,Bluetooth transmit buffer overrun.
1325,6,Bluetooth transmit buffer overrun.
1434,6,Bluetooth transmit buffer overrun.
1543,6,Bluetooth transmit buffer overrun.
1652,6,Bluetooth transmit buffer overrun.
1761,6,Bluetooth transmit buffer overrun.
1870,6,Bluetooth transmit buffer overrun.
1979,6,Bluetooth transmit buffer overrun.
2088,6,Bluetooth transmit buffer overrun.
2197,6,Bluetooth transmit buffer overrun.
2306,6,Bluetooth transmit buffer overrun.
2415,6,Bluetooth transmit buffer overrun.
2524,6,Bluetooth transmit buffer overrun.
2633,6,Bluetooth transmit buffer overrun.
2742,6,Bluetooth transmit buffer overrun.
2851,6,Bluetooth transmit buffer overrun.
2960,6,Bluetooth transmit buffer overrun.
3069,6,Bluetooth transmit buffer overrun.
3178,6,Bluetooth transmit buffer overrun.
3287,6,Bluetooth transmit buffer overrun.
3396,6,Bluetooth transmit buffer overrun.
3505,6,Bluetooth transmit buffer overrun.
3614,6,Bluetooth transmit buffer overrun.
3723,6,Bluetooth transmit buffer overrun.
3832,6,Bluetooth transmit buffer overrun.
3941,6,Bluetooth transmit buffer overrun.
4050,6,Bluetooth transmit buffer overrun.
4159,6,Bluetooth transmit buffer overrun.
4268,6,Bluetooth transmit buffer overrun.
4377,6,Bluetooth transmit buffer overrun.
4486,6,Bluetooth transmit buffer overrun.
4595,6,Bluetooth transmit buffer overrun.
4704,6,Bluetooth transmit buffer overrun.
4813,6,Bluetooth transmit buffer overrun.
4922,6,Bluetooth transmit buffer overrun.
5031,6,Bluetooth transmit buffer overrun.
5140,6,Bluetooth transmit buffer overrun.
5249,6,Bluetooth transmit buffer overrun.
5358,6,Bluetooth transmit buffer overrun.
5467,6,Bluetooth transmit buffer overrun.
5576,6,Bluetooth transmit buffer overrun.
5685,6,Bluetooth transmit buffer overrun.
5794,6,Bluetooth transmit buffer overrun.
5903,6,Bluetooth transmit buffer overrun.
6012,6,Bluetooth transmit buffer overrun.
6121,6,Bluetooth transmit buffer overrun.
6230,6,Bluetooth transmit buffer overrun.
6339,6,Bluetooth transmit buffer overrun.
6448,6,Bluetooth transmit buffer overrun.
6557,6,Bluetooth transmit buffer overrun.
6666,6,Bluetooth transmit buffer overrun.
6775,6,Bluetooth transmit buffer overrun.
6884,6,Bluetooth transmit buffer overrun.
6993,6,Bluetooth transmit buffer overrun.
7102,6,Bluetooth transmit buffer overrun.
7211,6,Bluetooth transmit buffer overrun.
7320,6,Bluetooth transmit buffer overrun.
7429,6,Bluetooth transmit buffer overrun.
7538,6,Bluetooth transmit buffer overrun.
7647,6,Bluetooth transmit buffer overrun.
7756,6,Bluetooth transmit buffer overrun.
7865,6,Bluetooth transmit buffer overrun.
7974,6,Bluetooth transmit buffer overrun.
8083,6,Bluetooth transmit buffer overrun.
8192,6,Bluetooth transmit buffer overrun.
8301,6,Bluetooth transmit buffer overrun.
8410,6,Bluetooth transmit buffer overrun.
8519,6,Bluetooth transmit buffer overrun.
8628,6,Bluetooth transmit buffer overrun.
8737,6,Bluetooth transmit buffer overrun.
8846,6,Bluetooth transmit buffer overrun.
8955,6,Bluetooth transmit buffer overrun.
9064,6,Bluetooth transmit buffer overrun.
9173,6,Bluetooth transmit buffer overrun.
9282,6,Bluetooth transmit buffer overrun.
9391,6,Bluetooth transmit buffer overrun.
9500,6,Bluetooth transmit buffer overrun.
