Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
0,-143.7782,10.91188,-149.2373
4,-143.7782,10.91188,-149.2373
8,-143.7782,10.91188,-149.2373
12,-143.7782,10.91188,-149.2373
16,-143.7824,10.90969,-149.2384
21,-143.7824,10.90969,-149.2384
25,-143.7824,10.90969,-149.2384
29,-143.7824,10.90969,-149.2384
33,-143.7824,10.90969,-149.2384
37,-143.7824,10.90969,-149.2384
41,-143.7792,10.9087,-149.2384
45,-143.7792,10.9087,-149.2384
49,-143.7792,10.9087,-149.2384
53,-143.7792,10.9087,-149.2384
57,-143.7792,10.9087,-149.2384
61,-143.7792,10.90984,-149.2416
65,-143.776,10.90886,-149.2416
69,-143.776,10.90886,-149.2416
73,-143.7802,10.90666,-149.2428
77,-143.7802,10.90666,-149.2428
81,-143.7802,10.90666,-149.2428
85,-143.7802,10.90666,-149.2428
89,-143.7812,10.90349,-149.244
93,-143.7812,10.90349,-149.244
97,-143.7812,10.90349,-149.244
101,-143.7812,10.90349,-149.244
105,-143.7812,10.90349,-149.244
109,-143.7812,10.90349,-149.244
113,-143.7854,10.90016,-149.2419
117,-143.7844,10.90334,-149.2407
121,-143.7812,10.90236,-149.2407
125,-143.7844,10.90334,-149.2407
130,-143.7844,10.90334,-149.2407
134,-143.7844,10.90334,-149.2407
138,-143.7844,10.90334,-149.2407
142,-143.7844,10.90334,-149.2407
146,-143.7844,10.90334,-149.2407
150,-143.7844,10.90334,-149.2407
154,-143.7834,10.90651,-149.2396
158,-143.7834,10.90651,-149.2396
162,-143.7834,10.90651,-149.2396
166,-143.7802,10.90553,-149.2395
170,-143.7792,10.9087,-149.2384
174,-143.7824,10.90969,-149.2384
178,-143.7824,10.90969,-149.2384
182,-143.7814,10.91286,-149.2373
186,-143.7771,10.9119,-149.2363
190,-143.777,10.91077,-149.233
194,-143.776,10.91394,-149.2319
198,-143.776,10.91394,-149.2319
202,-143.776,10.91394,-149.2319
206,-143.775,10.91711,-149.2307
210,-143.775,10.91711,-149.2307
214,-143.775,10.91711,-149.2307
218,-143.775,10.91711,-149.2307
222,-143.775,10.91711,-149.2307
226,-143.775,10.91711,-149.2307
230,-143.775,10.91598,-149.2275
234,-143.7793,10.91492,-149.2319
239,-143.7793,10.91492,-149.2319
243,-143.7803,10.91175,-149.233
247,-143.7814,10.91173,-149.2341
251,-143.7856,10.90954,-149.2352
255,-143.7867,10.90749,-149.2396
259,-143.7867,10.90749,-149.2396
263,-143.7921,10.90528,-149.2418
267,-143.793,10.90211,-149.2429
271,-143.7941,10.89893,-149.2441
275,-143.8004,10.89355,-149.2474
279,-143.8014,10.89038,-149.2485
283,-143.8057,10.88818,-149.2497
287,-143.8088,10.88181,-149.253
291,-143.813,10.88075,-149.2574
295,-143.8152,10.87756,-149.2596
299,-143.8162,10.87438,-149.2607
303,-143.8204,10.87219,-149.2619
307,-143.8204,10.87219,-149.2619
311,-143.8226,10.869,-149.264
315,-143.8236,10.86582,-149.2652
319,-143.8236,10.86582,-149.2652
323,-143.8268,10.8668,-149.2652
327,-143.8278,10.86363,-149.2663
331,-143.8278,10.86363,-149.2663
335,-143.8278,10.86363,-149.2663
339,-143.8278,10.86363,-149.2663
343,-143.8278,10.86363,-149.2663
348,-143.8278,10.86363,-149.2663
352,-143.8278,10.86363,-149.2663
356,-143.8278,10.86363,-149.2663
360,-143.8278,10.86363,-149.2663
364,-143.8278,10.86363,-149.2663
368,-143.8278,10.86363,-149.2663
372,-143.8278,10.86363,-149.2663
376,-143.8246,10.86265,-149.2663
380,-143.8246,10.86265,-149.2663
384,-143.8246,10.86265,-149.2663
388,-143.8246,10.86265,-149.2663
392,-143.8246,10.86265,-149.2663
396,-143.8246,10.86265,-149.2663
400,-143.8246,10.86265,-149.2663
404,-143.8246,10.86265,-149.2663
408,-143.8246,10.86265,-149.2663
412,-143.8246,10.86265,-149.2663
416,-143.8246,10.86378,-149.2695
420,-143.8256,10.8606,-149.2707
424,-143.8246,10.86378,-149.2695
428,-143.8246,10.86378,-149.2695
432,-143.8246,10.86265,-149.2663
436,-143.8256,10.8606,-149.2707
440,-143.8256,10.8606,-149.2707
444,-143.8256,10.8606,-149.2707
448,-143.8256,10.8606,-149.2707
452,-143.8256,10.85948,-149.2675
457,-143.8256,10.85948,-149.2675
461,-143.8256,10.85948,-149.2675
465,-143.8256,10.85948,-149.2675
469,-143.8256,10.85948,-149.2675
473,-143.8256,10.85948,-149.2675
477,-143.8256,10.85948,-149.2675
481,-143.8256,10.85948,-149.2675
485,-143.8256,10.85948,-149.2675
489,-143.8256,10.85948,-149.2675
493,-143.8256,10.85948,-149.2675
497,-143.8256,10.85948,-149.2675
501,-143.8256,10.85948,-149.2675
505,-143.8256,10.85948,-149.2675
509,-143.8256,10.85948,-149.2675
513,-143.8256,10.85948,-149.2675
517,-143.8256,10.85948,-149.2675
521,-143.8256,10.85948,-149.2675
525,-143.8256,10.85948,-149.2675
529,-143.8266,10.85743,-149.2719
533,-143.8256,10.8606,-149.2707
537,-143.8256,10.8606,-149.2707
541,-143.8256,10.85948,-149.2675
545,-143.8256,10.8606,-149.2707
549,-143.8256,10.85948,-149.2675
553,-143.8256,10.85948,-149.2675
557,-143.8256,10.85948,-149.2675
561,-143.8277,10.85628,-149.2696
566,-143.8277,10.85628,-149.2696
570,-143.8277,10.85628,-149.2696
574,-143.8277,10.85628,-149.2696
578,-143.8277,10.85628,-149.2696
582,-143.8277,10.85628,-149.2696
586,-143.8277,10.85628,-149.2696
590,-143.8266,10.8563,-149.2686
594,-143.8266,10.85743,-149.2719
598,-143.8266,10.85743,-149.2719
602,-143.8277,10.85741,-149.2729
606,-143.8277,10.85741,-149.2729
610,-143.8277,10.85741,-149.2729
614,-143.8277,10.85741,-149.2729
618,-143.8277,10.85741,-149.2729
622,-143.8277,10.85741,-149.2729
626,-143.8277,10.85741,-149.2729
630,-143.8277,10.85741,-149.2729
634,-143.8277,10.85741,-149.2729
638,-143.8277,10.85741,-149.2729
642,-143.8277,10.85741,-149.2729
646,-143.8277,10.85741,-149.2729
650,-143.8287,10.85424,-149.274
654,-143.8287,10.85424,-149.274
658,-143.8287,10.85424,-149.274
662,-143.8287,10.85424,-149.274
666,-143.8287,10.85424,-149.274
670,-143.8287,10.85424,-149.274
675,-143.8287,10.85424,-149.274
679,-143.8309,10.85726,-149.2696
683,-143.8319,10.85409,-149.2708
687,-143.8319,10.85409,-149.2708
691,-143.8309,10.85726,-149.2696
695,-143.8309,10.85726,-149.2696
699,-143.8309,10.85726,-149.2696
703,-143.8309,10.85726,-149.2696
707,-143.8309,10.85726,-149.2696
711,-143.8309,10.85726,-149.2696
715,-143.8309,10.85726,-149.2696
719,-143.8309,10.85726,-149.2696
723,-143.8342,10.85824,-149.2697
727,-143.8342,10.85824,-149.2697
731,-143.8342,10.85824,-149.2697
735,-143.8342,10.85824,-149.2697
739,-143.8342,10.85711,-149.2664
743,-143.8342,10.85824,-149.2697
747,-143.8342,10.85824,-149.2697
751,-143.8342,10.85711,-149.2664
755,-143.8342,10.85711,-149.2664
759,-143.8342,10.85711,-149.2664
763,-143.8342,10.85711,-149.2664
767,-143.8342,10.85711,-149.2664
771,-143.8352,10.85394,-149.2676
775,-143.8352,10.85394,-149.2676
779,-143.8352,10.85394,-149.2676
784,-143.8352,10.85394,-149.2676
788,-143.8352,10.85394,-149.2676
792,-143.8352,10.85507,-149.2708
796,-143.8352,10.85507,-149.2708
800,-143.8352,10.85394,-149.2676
804,-143.8352,10.85394,-149.2676
808,-143.8352,10.85394,-149.2676
812,-143.8352,10.85394,-149.2676
816,-143.8352,10.85394,-149.2676
820,-143.8352,10.85394,-149.2676
824,-143.8352,10.85394,-149.2676
828,-143.8384,10.85492,-149.2676
832,-143.8352,10.85394,-149.2676
836,-143.8374,10.85809,-149.2664
840,-143.8374,10.85809,-149.2664
844,-143.8374,10.85696,-149.2632
848,-143.8396,10.86112,-149.2621
852,-143.8386,10.86316,-149.2577
856,-143.8429,10.86719,-149.2523
860,-143.8441,10.87338,-149.2468
864,-143.8532,10.84855,-149.2343
868,-143.8316,10.70378,-149.1215
872,-143.7914,10.53182,-148.907
876,-143.7441,10.34292,-148.6437
880,-143.6665,10.157,-148.4043
884,-143.6266,10.12186,-148.2718
888,-143.7117,10.53283,-148.8726
893,-143.7231,10.56486,-148.9441
897,-143.7525,10.57874,-149.0279
901,-143.8137,10.56683,-149.1314
