Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1127371,0.1097761,0.0756669,-0.4734146,0.1257318,0.8521937,27.69852,-43.4191,-30.02297,1001.555
0.002497196,0.01118713,0.1693354,-0.0467335,-0.4704687,0.1248049,0.8507656,27.69852,-43.4191,-30.02297,1001.555
0.004994869,-0.05077496,0.1097761,0.0144667,-0.4763494,0.1255979,0.8469421,27.70485,-43.78799,-30.01654,1001.555
0.007492065,-0.1127371,-0.06890184,-0.0467335,-0.4719732,0.1266437,0.845499,27.70485,-43.78799,-30.01654,1001.555
0.009989262,-0.1127371,0.1097761,-0.0467335,-0.4749438,0.1290458,0.8483496,27.70485,-43.78799,-30.01654,1001.555
0.012486458,-0.2366612,0.1693354,-0.1079337,-0.4719432,0.1252458,0.849808,27.70485,-43.78799,-30.01654,1001.555
0.014983177,-0.2366612,-0.06890184,-0.0467335,-0.4728971,0.1243315,0.855547,27.70485,-43.78799,-30.01654,1001.555
0.017480850,-0.2366612,-0.2475797,-0.1079337,-0.4699612,0.1238706,0.8526826,27.70485,-43.78799,-30.01654,1001.555
0.019978046,-0.2986233,0.05021676,-0.2915343,-0.4744142,0.1272118,0.8555273,27.70485,-43.78799,-30.01654,1001.555
0.022475243,-0.3605854,0.1097761,-0.1079337,-0.4695656,0.1286503,0.8464386,27.70485,-43.78799,-30.01654,1001.555
0.024972439,-0.1127371,0.05021676,-0.0467335,-0.470993,0.1267163,0.8493192,27.70485,-43.78799,-30.01654,1001.555
0.027470112,-0.2366612,0.1693354,-0.1079337,-0.4700187,0.1267051,0.8469304,27.70485,-43.78799,-30.01654,1001.555
0.029967308,-0.2986233,0.1693354,-0.1691339,-0.4738356,0.1218067,0.8498336,27.70485,-43.78799,-30.01654,1001.555
0.032464504,-0.2986233,-0.1284611,-0.1079337,-0.4758681,0.1255053,0.8392999,27.70485,-43.78799,-30.01654,1001.555
0.034961700,-0.05077496,-0.06890184,-0.1079337,-0.4729394,0.1261632,0.8474137,27.70485,-43.78799,-30.01654,1001.555
0.037459373,0.07314922,0.05021676,-0.1691339,-0.4724469,0.1256239,0.8426406,27.70485,-43.78799,-30.01654,1001.555
0.039956570,0.07314922,-0.00934254,0.0144667,-0.47389,0.1246863,0.8474247,27.70485,-43.78799,-30.01654,1001.555
0.042453766,-0.05077496,-0.06890184,0.1368671,-0.4754099,0.1281356,0.8536108,27.70485,-43.78799,-30.01654,1001.555
0.044950485,-0.1746991,-0.00934254,-0.1079337,-0.471998,0.1281189,0.8469215,27.70485,-43.78799,-30.01654,1001.555
0.047447681,-0.05077496,-0.00934254,-0.1079337,-0.4689795,0.1233548,0.8488644,27.70485,-43.78799,-30.01654,1001.555
0.049944878,-0.1127371,0.05021676,-0.1079337,-0.4724676,0.1271572,0.8483616,27.70485,-43.78799,-30.01654,1001.555
0.052442551,0.07314922,0.1097761,-0.0467335,-0.4739229,0.1266532,0.8493214,27.70485,-43.78799,-30.01654,1001.555
0.054939747,-0.1746991,-0.06890184,0.1368671,-0.4690737,0.1287124,0.8502592,27.70485,-43.78799,-30.01654,1001.555
0.057436943,-0.2366612,0.1097761,-0.0467335,-0.4689837,0.1239045,0.8536372,27.70485,-43.78799,-30.01654,1001.552
0.059934139,-0.2986233,-0.06890184,-0.0467335,-0.4690256,0.1257426,0.8459814,27.70485,-43.78799,-30.01654,1001.552
