Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0.875,0.125,-0.0625,-0.222168,-0.02880859,-1.007324,0.1298828,0.02050781,1.081543
5,1.0625,0.375,-0.3125,-0.2182617,-0.02099609,-0.9960938,0.1274414,0.01953125,1.083008
9,1.4375,0.4375,-0.375,-0.222168,-0.02490234,-1.007324,0.1274414,0.01953125,1.081543
14,1.3125,0.25,-0.125,-0.2299805,-0.03662109,-1.026855,0.1298828,0.01953125,1.083008
18,1.125,0.0625,0.125,-0.2260742,-0.03271484,-1.015137,0.1298828,0.01953125,1.083008
22,0.9375,0,0.0625,-0.2299805,-0.02880859,-1.022949,0.128418,0.01953125,1.081543
26,0.25,-0.1875,0.25,-0.2260742,-0.02880859,-1.022949,0.128418,0.01953125,1.084473
30,0.0625,-0.0625,0.1875,-0.2260742,-0.03271484,-1.019043,0.128418,0.01953125,1.084473
34,0.125,-0.3125,0.5,-0.2260742,-0.03662109,-1.019043,0.1259766,0.01953125,1.081543
38,0,-0.375,0.6875,-0.222168,-0.02880859,-1.022949,0.128418,0.01953125,1.083008
42,-0.3125,-0.4375,0.4375,-0.2182617,-0.02880859,-1.019043,0.128418,0.01953125,1.083008
46,-0.5625,-0.625,0.25,-0.2143555,-0.02490234,-1.019043,0.1298828,0.01953125,1.083008
50,-0.6875,-0.1875,0.3125,-0.2182617,-0.02880859,-1.015137,0.1274414,0.01953125,1.083008
54,-0.625,-0.1875,0.125,-0.2182617,-0.02880859,-1.007324,0.1274414,0.01953125,1.083008
58,-0.5625,0,-0.1875,-0.2143555,-0.02880859,-1.007324,0.1274414,0.01953125,1.081543
62,-0.6875,-0.1875,-0.1875,-0.222168,-0.02880859,-1.019043,0.128418,0.02050781,1.083008
66,-0.4375,0.1875,-0.625,-0.2182617,-0.02880859,-1.01123,0.128418,0.02050781,1.083008
70,-0.375,0.0625,-0.5625,-0.2260742,-0.03271484,-1.007324,0.128418,0.01953125,1.083008
74,-0.4375,-0.0625,-0.6875,-0.2182617,-0.02880859,-1.007324,0.1274414,0.01953125,1.084473
78,-0.3125,0,-0.4375,-0.2299805,-0.02880859,-1.01123,0.1274414,0.01953125,1.084473
82,0,0,-0.25,-0.2260742,-0.02099609,-1.01123,0.1274414,0.01953125,1.081543
86,0.25,-0.0625,-0.4375,-0.222168,-0.02099609,-1.015137,0.1274414,0.01806641,1.081543
90,0.1875,-0.1875,-0.1875,-0.2260742,-0.02490234,-1.007324,0.1274414,0.01806641,1.081543
94,0.1875,0,-0.1875,-0.222168,-0.02880859,-1.01123,0.1274414,0.01806641,1.080566
98,0.3125,0.1875,0,-0.2299805,-0.02490234,-1.019043,0.1298828,0.02050781,1.080566
102,0.1875,0.1875,0.0625,-0.2182617,-0.02490234,-1.01123,0.1298828,0.02050781,1.080566
106,0.1875,0.0625,0,-0.2182617,-0.02099609,-1,0.128418,0.01806641,1.079102
110,0.25,0,0.0625,-0.2182617,-0.02490234,-1.007324,0.128418,0.01953125,1.083008
114,0.75,0,-0.0625,-0.2143555,-0.02880859,-1.003906,0.128418,0.01953125,1.083008
118,1.0625,-0.25,0.125,-0.2143555,-0.02490234,-1.003906,0.1274414,0.01660156,1.080566
123,0.625,0.0625,-0.1875,-0.222168,-0.03271484,-1.019043,0.128418,0.02050781,1.084473
127,0.5,0.1875,0,-0.2182617,-0.03271484,-1.019043,0.1259766,0.01953125,1.084473
131,0.625,0,0,-0.2260742,-0.03271484,-1.015137,0.1259766,0.01953125,1.084473
135,0.25,0,0,-0.222168,-0.03271484,-1.015137,0.1274414,0.01953125,1.083008
139,0.0625,0,0.0625,-0.222168,-0.02880859,-1.019043,0.128418,0.02050781,1.083008
143,0.0625,0,0.0625,-0.2260742,-0.03271484,-1.022949,0.128418,0.02050781,1.083008
147,-0.25,-0.125,-0.0625,-0.2182617,-0.03271484,-1.019043,0.128418,0.01953125,1.083008
