Packet number,Error code,Error message
11,6,Bluetooth transmit buffer overrun.
120,6,Bluetooth transmit buffer overrun.
229,6,Bluetooth transmit buffer overrun.
338,6,Bluetooth transmit buffer overrun.
447,6,Bluetooth transmit buffer overrun.
556,6,Bluetooth transmit buffer overrun.
665,6,Bluetooth transmit buffer overrun.
774,6,Bluetooth transmit buffer overrun.
883,6,Bluetooth transmit buffer overrun.
992,6,Bluetooth transmit buffer overrun.
1101,6,Bluetooth transmit buffer overrun.
1210,6,Bluetooth transmit buffer overrun.
1319,6,Bluetooth transmit buffer overrun.
1428,6,Bluetooth transmit buffer overrun.
1537,6,Bluetooth transmit buffer overrun.
1646,6,Bluetooth transmit buffer overrun.
1755,6,Bluetooth transmit buffer overrun.
1864,6,Bluetooth transmit buffer overrun.
1973,6,Bluetooth transmit buffer overrun.
2082,6,Bluetooth transmit buffer overrun.
2191,6,Bluetooth transmit buffer overrun.
2300,6,Bluetooth transmit buffer overrun.
2409,6,Bluetooth transmit buffer overrun.
2518,6,Bluetooth transmit buffer overrun.
2627,6,Bluetooth transmit buffer overrun.
2736,6,Bluetooth transmit buffer overrun.
2845,6,Bluetooth transmit buffer overrun.
2954,6,Bluetooth transmit buffer overrun.
3063,6,Bluetooth transmit buffer overrun.
3172,6,Bluetooth transmit buffer overrun.
3281,6,Bluetooth transmit buffer overrun.
3390,6,Bluetooth transmit buffer overrun.
3499,6,Bluetooth transmit buffer overrun.
3608,6,Bluetooth transmit buffer overrun.
3717,6,Bluetooth transmit buffer overrun.
3826,6,Bluetooth transmit buffer overrun.
3935,6,Bluetooth transmit buffer overrun.
4044,6,Bluetooth transmit buffer overrun.
4153,6,Bluetooth transmit buffer overrun.
4262,6,Bluetooth transmit buffer overrun.
4371,6,Bluetooth transmit buffer overrun.
4480,6,Bluetooth transmit buffer overrun.
4589,6,Bluetooth transmit buffer overrun.
4698,6,Bluetooth transmit buffer overrun.
4807,6,Bluetooth transmit buffer overrun.
4916,6,Bluetooth transmit buffer overrun.
5025,6,Bluetooth transmit buffer overrun.
5134,6,Bluetooth transmit buffer overrun.
5243,6,Bluetooth transmit buffer overrun.
5352,6,Bluetooth transmit buffer overrun.
