Packet number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
2,-0.7428069,-0.2334953,0.6274695,-0.5305878,0.7768782,-0.3390234,-0.408307,-0.5847565,-0.7009602
6,-0.7428109,-0.2334739,0.6274727,-0.5305972,0.7768503,-0.339073,-0.4082876,-0.5848023,-0.7009333
10,-0.7429196,-0.2334128,0.6273667,-0.5307355,0.7765346,-0.3395792,-0.4079098,-0.5852458,-0.7007831
15,-0.7429277,-0.2333701,0.627373,-0.5307541,0.7764785,-0.3396783,-0.4078708,-0.5853372,-0.7007294
19,-0.7429096,-0.2332767,0.6274292,-0.5307378,0.7764652,-0.3397339,-0.4079249,-0.5853919,-0.7006522
23,-0.7429137,-0.2332554,0.6274322,-0.5307471,0.7764371,-0.3397835,-0.4079054,-0.5854377,-0.7006254
27,-0.7428828,-0.2332355,0.6274762,-0.5307536,0.7764411,-0.3397644,-0.4079532,-0.5854404,-0.7005953
31,-0.7429055,-0.2331836,0.6274686,-0.5307056,0.7764645,-0.3397865,-0.4079743,-0.5854303,-0.7005914
35,-0.7428788,-0.2331423,0.6275155,-0.5307212,0.7764401,-0.339817,-0.4080025,-0.5854787,-0.7005345
39,-0.7428975,-0.2331118,0.6275048,-0.5306639,0.7764913,-0.3397896,-0.4080431,-0.5854229,-0.7005575
43,-0.7428667,-0.2330918,0.6275486,-0.5306703,0.7764952,-0.3397706,-0.4080908,-0.5854257,-0.7005274
47,-0.7428626,-0.2331132,0.6275455,-0.530661,0.7765234,-0.3397209,-0.4081103,-0.5853799,-0.7005543
51,-0.7428585,-0.2331346,0.6275424,-0.5306517,0.7765514,-0.3396714,-0.4081298,-0.5853342,-0.7005811
55,-0.7428237,-0.233136,0.6275831,-0.5306488,0.7765833,-0.3396027,-0.408197,-0.5852911,-0.7005779
59,-0.7428504,-0.2331773,0.6275361,-0.5306332,0.7766076,-0.3395723,-0.4081688,-0.5852429,-0.7006348
63,-0.7428377,-0.2332508,0.6275238,-0.5306558,0.7766248,-0.3394977,-0.4081624,-0.5851908,-0.7006819
67,-0.742815,-0.2333027,0.6275315,-0.5307038,0.7766017,-0.3394755,-0.4081413,-0.5852008,-0.7006859
71,-0.7427782,-0.2333544,0.6275558,-0.5307679,0.776566,-0.3394563,-0.4081249,-0.5852272,-0.7006733
75,-0.7427514,-0.2334276,0.6275603,-0.5308067,0.776571,-0.3393846,-0.4081233,-0.5851916,-0.700704
