Packet number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
0,-0.8437562,-0.3165127,0.4334687,-0.5022363,0.7504361,-0.4296559,-0.189299,-0.5802286,-0.7921494
4,-0.8437562,-0.3165127,0.4334687,-0.5022363,0.7504361,-0.4296559,-0.189299,-0.5802286,-0.7921494
8,-0.8437562,-0.3165127,0.4334687,-0.5022363,0.7504361,-0.4296559,-0.189299,-0.5802286,-0.7921494
12,-0.8437562,-0.3165127,0.4334687,-0.5022363,0.7504361,-0.4296559,-0.189299,-0.5802286,-0.7921494
16,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
21,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
25,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
29,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
33,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
37,-0.8437727,-0.3165486,0.4334106,-0.5022228,0.7504632,-0.4296249,-0.1892615,-0.5801744,-0.7921981
41,-0.8437753,-0.3165329,0.4334168,-0.5022247,0.7504335,-0.4296739,-0.1892446,-0.5802209,-0.792168
45,-0.8437753,-0.3165329,0.4334168,-0.5022247,0.7504335,-0.4296739,-0.1892446,-0.5802209,-0.792168
49,-0.8437753,-0.3165329,0.4334168,-0.5022247,0.7504335,-0.4296739,-0.1892446,-0.5802209,-0.792168
53,-0.8437753,-0.3165329,0.4334168,-0.5022247,0.7504335,-0.4296739,-0.1892446,-0.5802209,-0.792168
57,-0.8437753,-0.3165329,0.4334168,-0.5022247,0.7504335,-0.4296739,-0.1892446,-0.5802209,-0.792168
61,-0.8438004,-0.3164808,0.433406,-0.5021753,0.7504575,-0.4296902,-0.189264,-0.5802185,-0.7921652
65,-0.843803,-0.3164651,0.4334123,-0.5021771,0.750428,-0.4297393,-0.1892472,-0.5802651,-0.7921351
69,-0.843803,-0.3164651,0.4334123,-0.5021771,0.750428,-0.4297393,-0.1892472,-0.5802651,-0.7921351
73,-0.8438196,-0.3165009,0.4333541,-0.5021636,0.750455,-0.4297083,-0.1892097,-0.5802109,-0.7921837
77,-0.8438196,-0.3165009,0.4333541,-0.5021636,0.750455,-0.4297083,-0.1892097,-0.5802109,-0.7921837
81,-0.8438196,-0.3165009,0.4333541,-0.5021636,0.750455,-0.4297083,-0.1892097,-0.5802109,-0.7921837
85,-0.8438196,-0.3165009,0.4333541,-0.5021636,0.750455,-0.4297083,-0.1892097,-0.5802109,-0.7921837
89,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
93,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
97,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
101,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
105,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
109,-0.8438386,-0.316521,0.4333022,-0.502152,0.7504522,-0.4297263,-0.1891552,-0.5802032,-0.7922023
113,-0.84383,-0.3166088,0.4332549,-0.502188,0.7504553,-0.4296791,-0.1890983,-0.5801515,-0.7922538
117,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
121,-0.8438135,-0.316573,0.4333131,-0.5022015,0.7504283,-0.4297101,-0.1891358,-0.5802057,-0.7922051
125,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
130,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
134,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
138,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
142,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
146,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
150,-0.8438109,-0.3165887,0.4333068,-0.5021996,0.7504578,-0.429661,-0.1891526,-0.5801591,-0.7922352
154,-0.8437918,-0.3165686,0.4333586,-0.5022112,0.7504604,-0.4296429,-0.189207,-0.5801668,-0.7922167
158,-0.8437918,-0.3165686,0.4333586,-0.5022112,0.7504604,-0.4296429,-0.189207,-0.5801668,-0.7922167
162,-0.8437918,-0.3165686,0.4333586,-0.5022112,0.7504604,-0.4296429,-0.189207,-0.5801668,-0.7922167
166,-0.8437944,-0.316553,0.433365,-0.5022132,0.7504311,-0.4296921,-0.1891903,-0.5802134,-0.7921866
