Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.2135104,-0.03920121,0.1772025,-0.3724039,0.4286759,0.7969519,6.876321,8.362206,-59.28261,996.41
0.004994869,0.1583184,-0.2773951,-0.06765192,-0.3661498,0.4335623,0.7892707,6.858241,9.398886,-59.74727,996.41
0.007492065,0.0963066,-0.2177486,0.1159699,-0.3696285,0.4375,0.798798,6.858241,9.398886,-59.74727,996.41
0.012485981,-0.2754486,-0.03897135,0.1159548,-0.3703491,0.4228556,0.7941263,6.858241,9.398886,-59.74727,996.41
0.014983177,-0.02751369,-0.09851841,0.05471813,-0.3751216,0.4164095,0.7917868,6.858241,9.398886,-59.74727,996.41
0.019977093,0.09640831,-0.03891593,0.05470298,-0.3685642,0.4326809,0.7997871,6.858241,9.398886,-59.74727,996.41
0.022474289,-0.02754616,-0.09846301,-0.006514403,-0.3627779,0.4366313,0.7954565,6.858241,9.398886,-59.74727,996.41
0.027468681,0.09643427,-0.1579792,-0.1289684,-0.3699723,0.4291943,0.7955138,6.858241,9.398886,-59.74727,996.41
0.032463074,-0.08945419,-0.03878003,0.2994756,-0.3666041,0.4322119,0.7978786,6.858241,9.398886,-59.74727,996.41
0.034960270,0.0344981,-0.09832714,0.1157809,-0.3695548,0.4330679,0.794053,6.858241,9.398886,-59.74727,996.41
0.039954185,0.03445695,-0.09822795,0.05454641,-0.37242,0.4296658,0.7983778,6.858241,9.398886,-59.74727,996.41
0.042451859,0.03444613,-0.1577564,0.1157295,-0.3690557,0.4326253,0.7964441,6.858241,9.398886,-59.74727,996.4083
0.047445774,-0.02744027,-0.03851997,0.05439889,-0.369543,0.4326277,0.7973998,6.858241,9.398886,-59.74727,996.4083
0.049942970,0.09649253,0.08061073,0.0543818,-0.3733767,0.4280987,0.7917023,6.858241,9.398886,-59.74727,996.4083
0.054936886,0.03446982,-0.217199,0.05434764,-0.3704346,0.4277279,0.7955245,6.882644,7.99332,-59.27619,996.4083
0.059931755,-0.02751392,0.1402933,0.1155137,-0.3709993,0.4321109,0.7974043,6.882644,7.99332,-59.27619,996.4083
0.062427998,-0.02750528,0.1402492,-0.006922996,-0.3695001,0.4301948,0.7969394,6.882644,7.99332,-59.27619,996.4083
0.067422867,-0.027488,0.08062049,-0.006918646,-0.3690514,0.4320756,0.7916715,6.882644,7.99332,-59.27619,996.4083
0.069920063,0.09644482,0.2592731,-0.006916473,-0.3714781,0.431628,0.7983633,6.882644,7.99332,-59.27619,996.4083
0.074913979,0.1583658,-0.03861148,0.1766693,-0.3724985,0.434027,0.7978691,6.882644,7.99332,-59.27619,996.4083
0.077411652,0.2202781,0.02095995,0.2378139,-0.369079,0.4341199,0.7992995,6.882644,7.99332,-59.27619,996.4083
0.082405567,0.1581971,-0.09813439,-0.068298,-0.3715163,0.4335176,0.7945285,6.882644,7.99332,-59.27619,996.4088
0.084902763,0.1581474,0.1401336,-0.06827655,-0.3694636,0.4282794,0.7988637,6.882644,7.99332,-59.27619,996.4088
0.089896679,-0.02776034,0.08050501,0.05414752,-0.3719968,0.4330089,0.7935771,6.882644,7.99332,-59.27619,996.4088
0.094891071,0.220086,0.02089514,-0.06824844,-0.3656626,0.4341676,0.7973865,6.882644,7.99332,-59.27619,996.4088
0.097388744,0.1580548,0.08044788,0.0541734,-0.3686221,0.4355089,0.7935573,6.882644,7.99332,-59.27619,996.4088
0.102382660,0.2199176,0.1399379,-0.06820336,-0.3700496,0.4335749,0.7964379,6.882644,7.99332,-59.27619,996.4088
0.104879856,0.1578864,0.08033466,0.1766189,-0.3728974,0.4292022,0.8007698,7.232088,9.037923,-59.74162,996.4088
0.109873772,0.09582511,0.02078103,0.1153077,-0.3665208,0.4273074,0.7940923,7.232088,9.037923,-59.74162,996.4088
0.112370968,0.095795,0.0803338,0.1764717,-0.3743033,0.4257478,0.7988846,7.232088,9.037923,-59.74162,996.4088
0.117364883,0.09571535,-0.03883526,-0.007258997,-0.3704585,0.4292161,0.7979022,7.232088,9.037923,-59.74162,996.4088
0.122359753,0.0337126,0.08028902,-0.00723521,-0.3724907,0.4335288,0.7969174,7.232088,9.037923,-59.74162,996.407
0.124856472,-0.02826009,0.0207045,-0.1296333,-0.3685838,0.4336193,0.7973921,7.232088,9.037923,-59.74162,996.407
0.129850864,-0.02824233,0.1397727,0.1151912,-0.3680743,0.432103,0.7921483,7.232088,9.037923,-59.74162,996.407
0.132348537,0.1576528,-0.09850844,-0.007245366,-0.3719109,0.4281431,0.7926564,7.232088,9.037923,-59.74162,996.407
0.137342453,0.03368799,0.02065333,-0.06842179,-0.3705431,0.4341012,0.8002558,7.232088,9.037923,-59.74162,996.407
0.139839649,0.03367741,-0.03891245,-0.007200093,-0.3705005,0.4316619,0.7993178,7.232088,9.037923,-59.74162,996.407
0.144833565,-0.02830584,-0.03892543,0.05400463,-0.3684836,0.4277377,0.793135,7.232088,9.037923,-59.74162,996.407
0.147330761,-0.02829695,-0.03891321,-0.007212535,-0.3714781,0.431628,0.7983633,7.232088,9.037923,-59.74162,996.407
0.152324677,0.09560607,0.02063312,0.1151732,-0.3699467,0.427732,0.7950466,7.232088,9.037923,-59.74162,996.407
0.157319546,-0.02837817,-0.03893914,0.1763395,-0.3728722,0.4277334,0.7998249,7.232253,9.04642,-59.29515,996.407
0.159816742,0.09555493,-0.1580455,0.1150839,-0.373878,0.4291232,0.796472,7.232253,9.04642,-59.29515,996.407
0.187285423,-0.1524287,0.08019519,0.2369143,-0.369126,0.4364948,0.7954612,7.232253,9.04642,-59.29515,996.407
