Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.07307872,-0.1270711,0.04955507,-0.3294989,0.4353637,0.8284048,5.199332,6.931908,-38.77435,993.961
0.004995346,0.2588607,-0.1865132,0.1107818,-0.3289892,0.4344616,0.83271,5.199332,6.931908,-38.77435,993.961
0.007493496,0.3207414,-0.1268953,-0.01165339,-0.3354047,0.4376255,0.8255262,5.199332,6.931908,-38.77435,993.961
0.012489319,0.01076844,-0.1863375,0.1107543,-0.3368496,0.436662,0.8283999,5.199332,6.931908,-38.77435,993.961
0.017485142,0.1346664,-0.1267172,0.1106848,-0.3329362,0.436235,0.82649,5.199332,6.931908,-38.77435,993.961
0.019983292,0.1346241,-0.245796,0.1718502,-0.334883,0.4356754,0.8241069,5.199332,6.931908,-38.77435,993.961
0.024978638,0.2584637,-0.2456416,-0.01176225,-0.3373011,0.4341284,0.8212533,5.573014,6.562451,-39.21516,993.961
0.027476311,0.1964204,0.05223206,0.1106419,-0.3367906,0.4332392,0.8265136,5.573014,6.562451,-39.21516,993.961
0.032472610,0.07241176,-0.06686322,0.1717725,-0.3319609,0.4362367,0.8250564,5.573014,6.562451,-39.21516,993.961
0.034970284,0.1343511,-0.1264015,0.1105184,-0.3329453,0.4367138,0.826009,5.573014,6.562451,-39.21516,993.961
0.039965630,0.01040091,-0.1263408,-0.1342942,-0.3349321,0.4380182,0.8178805,5.573014,6.562451,-39.21516,993.9634
0.042463779,0.1343218,-0.1858604,-0.01185158,-0.3349039,0.4365945,0.820279,5.573014,6.562451,-39.21516,993.9634
0.047459602,0.3201626,-0.3048435,-0.07304433,-0.3323789,0.4323567,0.8260397,5.573014,6.562451,-39.21516,993.9634
0.052455425,0.07215209,-0.1855334,0.04940196,-0.3377667,0.4332246,0.826992,5.573014,6.562451,-39.21516,993.9634
0.054953098,0.07212942,-0.006797254,0.1717868,-0.3333975,0.4347815,0.827456,5.573014,6.562451,-39.21516,993.9634
0.059948921,0.1340073,-0.1258554,0.04935542,-0.3382442,0.4327611,0.8293839,5.573014,6.562451,-39.21516,993.9634
0.062447071,0.1959273,-0.1853752,-0.07306048,-0.3398894,0.4423388,0.8221515,5.573014,6.562451,-39.21516,993.9634
0.067442894,0.2577079,-0.06614016,0.1105476,-0.333826,0.431361,0.8265253,5.573014,6.562451,-39.21516,993.9634
0.069940090,0.2576269,-0.06611937,-0.01188756,-0.3373136,0.4351699,0.8265002,5.573014,6.562451,-39.21516,993.9634
0.074935913,0.2574651,-0.06611526,-0.07308029,-0.3319014,0.4328203,0.8236477,5.566691,6.931336,-39.22158,993.9634
0.079932213,0.1953802,-0.06609243,0.04934679,-0.333451,0.4376739,0.8260024,5.566691,6.931336,-39.22158,993.9634
0.082429886,0.1953188,-0.125631,0.1717317,-0.3393485,0.439444,0.8226495,5.566691,6.931336,-39.22158,993.9634
0.087425232,0.2571192,-0.1850552,0.1716046,-0.3377868,0.4341565,0.8241194,5.566691,6.931336,-39.22158,993.9634
0.089923382,0.1950764,0.05324012,0.1715507,-0.337321,0.4356745,0.8279296,5.566691,6.931336,-39.22158,993.9634
0.094919205,0.318839,-0.1254899,0.04910017,-0.3348843,0.4356561,0.822674,5.566691,6.931336,-39.22158,993.9634
0.097417355,0.2567768,-0.1254505,-0.07331566,-0.3324214,0.434796,0.8269777,5.566691,6.931336,-39.22158,993.9634
0.102412701,0.2566155,-0.006253101,0.1714543,-0.3315,0.4376837,0.8236128,5.566691,6.931336,-39.22158,993.9634
0.104910374,0.3184969,-0.1253697,0.1102002,-0.3285666,0.4377983,0.8274316,5.566691,6.931336,-39.22158,993.9634
0.109906673,0.1944116,-0.3040063,-0.0734696,-0.3334042,0.4346848,0.8202918,5.566691,6.931336,-39.22158,993.9634
0.114902496,0.1323274,-0.1251374,0.2325391,-0.3358496,0.4351885,0.8255438,5.566691,6.931336,-39.22158,993.9634
0.117399693,0.07032374,-0.1250981,0.04886545,-0.3333975,0.4347815,0.827456,5.566691,6.931336,-39.22158,993.9634
0.122395992,0.1322416,-0.1845788,0.110035,-0.3320313,0.4401062,0.8240736,5.566691,6.931336,-39.22158,993.9634
0.124893665,0.5659348,-0.3036394,-0.1348004,-0.3349647,0.4399916,0.8202548,4.844455,6.186212,-38.76074,993.9634
0.129889488,0.1939235,-0.1843675,-0.07353476,-0.3334007,0.4347364,0.8241127,4.844455,6.186212,-38.76074,993.9634
0.132387638,0.3177867,-0.3629875,-0.1959121,-0.3348469,0.4337536,0.8255535,4.844455,6.186212,-38.76074,993.9634
0.137382984,0.255625,-0.005459778,-0.01222683,-0.3368166,0.4346951,0.8265033,4.844455,6.186212,-38.76074,993.9634
0.142378807,0.1935218,-0.005418926,0.04896183,-0.3358965,0.4375634,0.8217056,4.844455,6.186212,-38.76074,993.9634
0.144876957,0.2554231,-0.005417224,0.1101466,-0.3342682,0.4289627,0.8294087,4.844455,6.186212,-38.76074,993.9634
0.149872303,0.3172247,-0.1840356,0.1101544,-0.3382784,0.4347087,0.8298477,4.844455,6.186212,-38.76074,993.9634
0.152369976,0.317125,-0.00529987,0.04891955,-0.3309665,0.4352935,0.8255402,4.844455,6.186212,-38.76074,993.9634
0.157366276,0.5027732,-0.1243964,0.1100698,-0.3354438,0.4395022,0.8207362,4.844455,6.186212,-38.76074,993.9634
0.159863949,0.378691,-0.1243573,0.1100352,-0.3314873,0.4372564,0.8279149,4.844455,6.186212,-38.76074,993.9634
0.164860249,0.6262431,-0.06470121,-0.01247277,-0.332773,0.4269886,0.8246453,4.844455,6.186212,-38.76074,993.9634
0.167362213,0.5021222,-0.1242402,0.1711318,-0.3294278,0.430893,0.8207941,4.844455,6.186212,-38.76074,993.9634
0.172353268,0.5637688,0.05449705,0.1098433,-0.3359551,0.4409927,0.8240696,4.844455,6.186212,-38.76074,993.9634
0.177349567,0.3774894,-0.1241777,-0.01260692,-0.3378133,0.435606,0.8236313,5.566526,6.92284,-39.66805,993.9634
0.179852009,0.5632571,0.1140985,0.04859725,-0.3402306,0.4340718,0.8217331,5.566526,6.92284,-39.66805,993.9634
0.184842587,0.3770365,-0.005073018,0.2933291,-0.3338616,0.4332893,0.8255562,5.566526,6.92284,-39.66805,993.9634
0.187340736,0.5628043,-0.005071424,0.2932369,-0.3275104,0.433471,0.8288949,5.566526,6.92284,-39.66805,993.9634
0.192336559,0.6243739,-0.1241681,0.2318525,-0.3335478,0.4429929,0.8245315,5.566526,6.92284,-39.66805,993.9634
0.194834709,0.5622156,-0.1836884,0.1093793,-0.3325494,0.4421077,0.8293139,5.566526,6.92284,-39.66805,993.9634
0.199830055,0.5618235,0.1142235,0.2317109,-0.3315142,0.4386994,0.8269492,5.566526,6.92284,-39.66805,993.9634
0.204825878,0.56149,-0.1240668,0.1092227,-0.3353256,0.4332707,0.8265126,5.566526,6.92284,-39.66805,993.9634
0.207323551,0.5613136,0.1142094,0.1703885,-0.3325247,0.4406325,0.8278914,5.566526,6.92284,-39.66805,993.9634
0.212319851,0.4989989,-0.1836027,0.1090428,-0.3344412,0.4380673,0.8207459,5.566526,6.92284,-39.66805,993.9634
0.214818955,0.6847284,0.1738108,0.1090086,-0.3348208,0.4322977,0.8255638,5.566526,6.92284,-39.66805,993.9634
0.219812870,0.6223946,-0.1240949,-0.07467972,-0.3368119,0.4341518,0.8222082,5.566526,6.92284,-39.66805,993.9634
0.222311020,0.7461232,-0.1240559,-0.01345606,-0.3401767,0.4311858,0.8236643,5.566526,6.92284,-39.66805,993.9634
0.227306843,0.5597877,0.05464377,0.2312955,-0.3315051,0.4382206,0.8274303,5.940703,6.578872,-38.76946,993.9634
0.232302189,0.497435,0.05459073,0.16995,-0.3319192,0.4337844,0.8231632,5.940703,6.578872,-38.76946,993.9634
0.234800339,0.6212029,0.05457358,0.1698966,-0.335333,0.4337753,0.827942,5.940703,6.578872,-38.76946,993.9634
0.239796162,0.4968495,-0.06459802,0.2310285,-0.3348264,0.4328281,0.8289037,5.940703,6.578872,-38.76946,993.9615
0.242294312,0.4347313,0.05454088,0.2921562,-0.3328685,0.4323269,0.8246073,5.940703,6.578872,-38.76946,993.9615
0.247289658,0.6822482,-0.06457457,0.1084105,-0.3333789,0.4338302,0.8288957,5.940703,6.578872,-38.76946,993.9615
0.249787330,0.6200718,-0.004994977,-0.01402398,-0.3358373,0.4347548,0.8293683,5.940703,6.578872,-38.76946,993.9615
0.254783630,0.5576812,0.2927859,-0.0140344,-0.3334136,0.4357714,0.8288819,5.940703,6.578872,-38.76946,993.9615
