Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.05593027,-0.1458422,0.2562249,-0.4971168,0.1391337,0.8396927,3.043126,21.65041,-45.28001,1001.503
0.002497196,-0.241799,-0.02667781,0.3785448,-0.4975748,0.1371176,0.8349307,3.043126,21.65041,-45.28001,1001.503
0.004994869,-0.3036851,0.09244917,0.1948252,-0.5009001,0.1316671,0.8321056,3.043126,21.65041,-45.28001,1001.503
0.007491112,-0.1177034,0.1519794,0.07236364,-0.5004734,0.1350618,0.8311257,3.043126,21.65041,-45.28001,1001.503
0.009988785,0.2541061,0.211491,0.1335411,-0.4970709,0.1361317,0.8330268,3.043126,21.65041,-45.28001,1001.503
0.012485981,0.4399125,0.03274664,0.3170998,-0.4967358,0.1449227,0.8363075,3.043126,21.65041,-45.28001,1001.503
0.014983177,0.3158502,-0.02682295,0.3170002,-0.4972393,0.145915,0.838689,3.043126,21.65041,-45.28001,1001.503
0.017480373,-0.05602161,-0.08637382,0.2557003,-0.4977393,0.1463447,0.8353426,3.043126,21.65041,-45.28001,1001.503
0.019978046,-0.1179661,0.03277192,0.1332196,-0.4952779,0.1448511,0.8286645,3.043126,21.65041,-45.28001,1001.503
0.022475243,0.06795722,0.09232092,0.1331778,-0.493267,0.1414509,0.825344,3.043126,21.65041,-45.28001,1001.503
0.024972439,0.4397084,0.1518512,0.07193572,-0.4946845,0.1390509,0.8296609,3.043126,21.65041,-45.28001,1001.503
0.027469635,0.6254566,0.2709221,0.1943135,-0.4976338,0.1405404,0.8368169,3.043126,21.65041,-45.28001,1001.503
0.029967308,0.5013359,0.3899556,0.2554527,-0.4990279,0.1366459,0.8382786,3.043126,21.65041,-45.28001,1001.503
0.032464504,0.5011784,0.2111552,0.132972,-0.4956698,0.1395152,0.8296582,3.043126,21.65041,-45.28001,1001.503
0.034961700,0.4390588,0.3302075,0.07173005,-0.4897169,0.1342708,0.8273037,2.688413,20.91321,-44.81993,1001.503
0.037458896,0.8106935,0.4492223,0.07170752,-0.4941337,0.1356901,0.8315952,2.688413,20.91321,-44.81993,1001.503
0.039956569,1.306136,0.3895219,0.1328852,-0.4991666,0.1438029,0.8291519,2.688413,20.91321,-44.81993,1001.505
0.042453766,1.367687,0.3893995,0.01044304,-0.4972555,0.1462907,0.830566,2.688413,20.91321,-44.81993,1001.505
0.044950962,0.8715609,0.2701586,0.07163996,-0.4973096,0.1497845,0.8377061,2.688413,20.91321,-44.81993,1001.505
0.047448158,0.189704,0.2105144,0.07161745,-0.4947269,0.1421044,0.8401477,2.688413,20.91321,-44.81993,1001.505
0.049945831,0.1896445,0.150889,0.07159495,-0.4912047,0.1357403,0.8306378,2.688413,20.91321,-44.81993,1001.505
0.052443027,0.5613574,-0.02783634,0.1327727,-0.4932165,0.1391275,0.8330032,2.688413,20.91321,-44.81993,1001.505
0.054940223,0.6231432,0.03173171,-0.05086966,-0.4941563,0.1365834,0.8258569,2.688413,20.91321,-44.81993,1001.505
0.057437420,0.5609853,0.09128104,-0.05085368,-0.4941711,0.1375927,0.8287157,2.688413,20.91321,-44.81993,1001.505
0.059934139,0.5608091,0.1508117,0.1327629,-0.4946581,0.1376015,0.8301489,2.688413,20.91321,-44.81993,1001.505
0.062431335,0.8704433,0.1507643,0.1939214,-0.499553,0.1379366,0.8268058,2.688413,20.91321,-44.81993,1001.505
0.064929485,1.118018,0.09115762,0.07146007,-0.4961976,0.1419892,0.8339398,2.688413,20.91321,-44.81993,1001.505
0.067426204,1.055705,0.1506883,0.07143763,-0.495241,0.1429421,0.8310664,2.688413,20.91321,-44.81993,1001.505
0.069923401,1.055373,-0.02803696,0.1326154,-0.4971878,0.1423826,0.8286833,2.688413,20.91321,-44.81993,1001.505
0.072420597,0.8691554,-0.02802815,0.07137352,-0.4967638,0.1457386,0.8248377,2.688413,20.91321,-44.81993,1001.505
0.074918270,0.8069203,-0.08757865,0.0713511,-0.4982134,0.1453185,0.8320066,2.688413,20.91321,-44.81993,1001.505
0.077415466,0.8066668,-0.02799183,0.1325289,-0.4946988,0.1400666,0.8329973,2.688413,20.91321,-44.81993,1001.505
0.079912662,0.558565,-0.2066609,0.1324873,-0.4985949,0.1395231,0.8349141,2.688413,20.91321,-44.81993,1001.507
0.082409858,0.6823137,-0.206596,0.01004522,-0.4966837,0.1420109,0.8363282,2.688413,20.91321,-44.81993,1001.507
0.084907532,0.434251,-0.02785321,-0.2959589,-0.4932808,0.1424731,0.829158,2.675602,21.64249,-45.27925,1001.507
0.087404728,0.3101904,-0.02784446,-0.1122654,-0.4966612,0.1405034,0.8325177,2.675602,21.64249,-45.27925,1001.507
0.089901924,0.4959792,-0.02783571,0.01017032,-0.4951894,0.1400239,0.8306096,2.675602,21.64249,-45.27925,1001.507
0.092399120,0.4958234,-0.02782696,0.01016712,-0.4947267,0.1414967,0.8310764,2.675602,21.64249,-45.27925,1001.507
0.094896793,0.4337055,-0.08737752,0.07136413,-0.4918767,0.1459017,0.8291327,2.675602,21.64249,-45.27925,1001.507
0.097393989,0.4335693,-0.2064687,-0.05105869,-0.4933234,0.1449124,0.830096,2.675602,21.64249,-45.27925,1001.507
0.099891186,0.4334331,-0.2064038,-0.05104265,-0.4947444,0.1424609,0.8305919,2.675602,21.64249,-45.27925,1001.507
0.102388382,0.3093727,-0.2658983,-0.05102661,-0.4927761,0.1415001,0.8282093,2.675602,21.64249,-45.27925,1001.507
0.104886055,0.1233892,-0.3849333,-0.05101058,-0.4933,0.1434179,0.8272406,2.675602,21.64249,-45.27925,1001.507
0.107383251,0.4331609,-0.0870159,-0.1121948,-0.4976278,0.1400165,0.8339547,2.675602,21.64249,-45.27925,1001.507
0.109879970,0.3710628,-0.02742926,-0.1121595,-0.4985715,0.1380285,0.8320588,2.675602,21.64249,-45.27925,1001.507
0.112377167,0.3709462,-0.08697994,-0.2345247,-0.4943055,0.1454218,0.8334365,2.675602,21.64249,-45.27925,1001.507
0.114874363,0.1849434,-0.2060712,-0.1120506,-0.4942036,0.1395661,0.8310899,2.675602,21.64249,-45.27925,1001.507
0.117371559,0.1229232,-0.4442437,-0.1732156,-0.4922546,0.1401578,0.8358613,2.675602,21.64249,-45.27925,1001.507
0.119869232,0.3087708,-0.3249855,0.01043943,-0.4932045,0.1380796,0.8272786,2.675602,21.64249,-45.27925,1001.51
0.122366428,0.2467117,-0.3844427,0.01043615,-0.4873855,0.1406708,0.8301228,2.675602,21.64249,-45.27925,1001.51
0.124863624,0.3705584,-0.5034406,-0.1731677,-0.4907077,0.1352655,0.8306409,2.675602,21.64249,-45.27925,1001.51
0.127360821,0.1845557,-0.3841638,-0.1119131,-0.4966131,0.1375337,0.8282399,2.675602,21.64249,-45.27925,1001.51
0.129858494,0.370384,-0.3244838,-0.111878,-0.4937092,0.1390526,0.8282273,2.675602,21.64249,-45.27925,1001.51
0.132355690,0.4322298,-0.4435004,0.132958,-0.5000691,0.1393562,0.8248852,2.675602,21.64249,-45.27925,1001.51
0.134852886,0.4320939,-0.3838018,0.07171601,-0.4952085,0.1409687,0.8286922,3.049614,21.29002,-44.82713,1001.51
0.137350082,0.4319582,-0.324122,0.2552941,-0.4941793,0.1380844,0.8291898,3.049614,21.29002,-44.82713,1001.51
0.139847755,0.4937846,-0.3835794,0.07161328,-0.4946788,0.1391347,0.83587,3.049614,21.29002,-44.82713,1001.51
0.142344951,0.3077432,-0.4430182,0.07159078,-0.4960967,0.1367282,0.8397092,3.049614,21.29002,-44.82713,1001.51
0.144842148,0.3076465,-0.5619977,0.2551689,-0.4971221,0.1390564,0.8339612,3.049614,21.29002,-44.82713,1001.51
0.147339344,0.1836257,-0.3831432,0.2550887,-0.4922499,0.1396145,0.8315662,3.049614,21.29002,-44.82713,1001.51
0.149837017,0.4314164,-0.5617007,0.1326082,-0.4931437,0.1346825,0.8273028,3.049614,21.29002,-44.82713,1001.51
0.152334213,0.2453946,-0.7402021,0.2549669,-0.492207,0.1371816,0.8311058,3.049614,21.29002,-44.82713,1001.51
0.154831409,-0.00253089,-0.5612917,0.1936866,-0.490738,0.1372711,0.8354033,3.049614,21.29002,-44.82713,1001.51
0.157328605,0.05943199,-0.1442003,0.1936258,-0.4912668,0.139118,0.8291807,3.049614,21.29002,-44.82713,1001.51
0.159825325,-0.002548765,-0.2632736,0.3159654,-0.4956463,0.1386348,0.8363517,3.049614,21.29002,-44.82713,1001.508
0.162322998,-0.002547964,-0.5609874,0.1934657,-0.4932755,0.1425504,0.8348894,3.049614,21.29002,-44.82713,1001.508
0.164822101,-0.002547164,-0.5608111,0.07100451,-0.494734,0.1420014,0.8325059,3.049614,21.29002,-44.82713,1001.508
0.167317390,-0.002546363,-0.5010756,0.1933826,-0.4932644,0.1414896,0.8282097,3.049614,21.29002,-44.82713,1001.508
0.169814586,-0.06450766,-0.4413589,0.2545221,-0.4946594,0.1375822,0.828716,3.049614,21.29002,-44.82713,1001.508
0.172311783,0.183361,-0.381661,0.3768425,-0.4913015,0.1410592,0.8291669,3.049614,21.29002,-44.82713,1001.508
0.174809456,0.1213413,-0.4411004,0.4379243,-0.4937825,0.1434911,0.83345,3.049614,21.29002,-44.82713,1001.508
0.177306652,0.05934107,-0.3814025,0.2541861,-0.4956347,0.1375805,0.8301497,3.049614,21.29002,-44.82713,1001.508
0.179808140,0.2452087,-0.3812827,0.2541063,-0.4897814,0.138224,0.8325299,3.049614,21.29002,-44.82713,1001.508
0.182301044,0.2451317,-0.2620443,0.131626,-0.4897509,0.1368326,0.8373165,3.049614,21.29002,-44.82713,1001.508
0.184798717,0.3070167,-0.08328406,0.07038449,-0.4931774,0.1372508,0.8377932,2.694571,20.53583,-45.25998,1001.508
0.187295914,0.3069203,-0.2619358,0.1927628,-0.493302,0.1439998,0.8344014,2.694571,20.53583,-45.25998,1001.508
0.189793110,0.2448618,-0.3809721,0.3151026,-0.494783,0.1449582,0.8358285,2.694571,20.53583,-45.25998,1001.508
0.192290306,-0.06502561,-0.499971,0.2538034,-0.4962383,0.1444543,0.8367882,2.694571,20.53583,-45.25998,1001.508
0.194787979,-0.1269673,-0.2615767,0.1313233,-0.495671,0.14011,0.8377742,2.694571,20.53583,-45.25998,1001.508
0.197285175,-0.06496529,-0.3210539,0.1924822,-0.4941397,0.1362141,0.8344575,2.694571,20.53583,-45.25998,1001.508
0.199782371,-0.002982786,-0.2018344,0.253622,-0.4961858,0.141549,0.8372866,2.694571,20.53583,-45.25998,1001.506
0.202279568,-0.002981849,-0.201771,0.1311419,-0.4927716,0.1415645,0.8329855,2.694571,20.53583,-45.25998,1001.506
0.204779625,0.3068295,-0.1421483,0.1311007,-0.4947088,0.1405326,0.831561,2.694571,20.53583,-45.25998,1001.506
0.207274437,0.182809,-0.2612222,0.4370605,-0.497719,0.144805,0.8291439,2.694571,20.53583,-45.25998,1001.506
0.209771633,0.1207894,-0.1420216,0.1921224,-0.4937505,0.1415113,0.8305981,2.694571,20.53583,-45.25998,1001.506
0.212268829,0.0587894,-0.3802142,0.1308618,-0.4912764,0.1395904,0.828222,2.694571,20.53583,-45.25998,1001.506
0.214765549,-0.003191154,-0.2609761,0.2532211,-0.4957184,0.1424785,0.8334584,2.694571,20.53583,-45.25998,1001.506
0.217263222,0.1826961,-0.02265694,0.2531416,-0.4962753,0.1463633,0.8343863,2.694571,20.53583,-45.25998,1001.506
0.219760418,-0.003247548,-0.02264982,0.253062,-0.4977407,0.1463253,0.8339097,2.694571,20.53583,-45.25998,1001.506
0.222257614,-0.1271707,-0.2608799,-0.1142187,-0.4990753,0.1390144,0.8339627,2.694571,20.53583,-45.25998,1001.506
0.224754810,-0.2510549,-0.2607979,0.130618,-0.4985697,0.1380543,0.8339693,2.694571,20.53583,-45.25998,1001.506
0.227252483,-0.3129382,-0.2011567,0.2529774,-0.4932054,0.1380667,0.8263234,2.694571,20.53583,-45.25998,1001.506
0.229749679,-0.2508778,-0.1415342,0.1916977,-0.4917407,0.138706,0.8353937,2.694571,20.53583,-45.25998,1001.506
0.232246876,-0.1268748,-0.1414898,0.2528377,-0.4955655,0.1343058,0.8392486,2.694571,20.53583,-45.25998,1001.506
0.234744072,0.1210135,-0.2010046,0.1303579,-0.4951582,0.1380312,0.8268025,3.043291,21.65891,-44.83355,1001.506
0.237241745,-0.06491083,-0.2009415,0.3139175,-0.4922339,0.1386246,0.8301402,3.043291,21.65891,-44.83355,1001.506
0.239738941,0.05903375,-0.2604376,0.3138189,-0.4922889,0.1421054,0.836325,3.043291,21.65891,-44.83355,1001.506
0.242236137,0.0590152,-0.2603558,0.2525201,-0.492779,0.1420691,0.8344149,3.043291,21.65891,-44.83355,1001.506
0.244733333,-0.002965428,-0.3793926,0.2524408,-0.4938776,0.1488359,0.8338896,3.043291,21.65891,-44.83355,1001.506
0.247230530,-0.312775,-0.3792734,0.1299611,-0.4967032,0.1429493,0.8339332,3.043291,21.65891,-44.83355,1001.506
0.249728203,-0.2507146,-0.2004764,0.06872003,-0.4947048,0.1405906,0.8358596,3.043291,21.65891,-44.83355,1001.506
0.252225399,-0.4365221,-0.2599727,0.06869844,-0.4922299,0.1386826,0.8344387,3.043291,21.65891,-44.83355,1001.506
0.254722595,-0.3744228,-0.3194503,0.1910773,-0.4937019,0.138548,0.826798,3.043291,21.65891,-44.83355,1001.506
0.257219791,-0.3123432,-0.1406721,0.06861683,-0.4942541,0.1418894,0.8234308,3.043291,21.65891,-44.83355,1001.506
0.259717464,-0.00243458,-0.2001872,0.1297955,-0.4917021,0.1362086,0.8301572,3.043291,21.65891,-44.83355,1001.506
0.262214660,-0.002433814,-0.140565,0.2521551,-0.4952332,0.1424439,0.8301147,3.043291,21.65891,-44.83355,1001.506
0.264711380,-0.1263572,-0.1405208,0.1296755,-0.4986743,0.1438714,0.8334501,3.043291,21.65891,-44.83355,1001.506
0.267208576,-0.002393354,-0.1404767,0.1296347,-0.4953121,0.1474129,0.8386772,3.043291,21.65891,-44.83355,1001.506
0.269705772,-0.4361272,-0.1404325,0.00719361,-0.4948562,0.1493968,0.8410512,3.043291,21.65891,-44.83355,1001.506
0.272203445,-0.5599144,-0.1403884,0.1295917,-0.4947865,0.1449067,0.8320075,3.043291,21.65891,-44.83355,1001.506
0.274700641,-0.4977764,-0.2594629,0.06835084,-0.4897979,0.1392075,0.8334782,3.043291,21.65891,-44.83355,1001.506
0.277197838,-0.49762,-0.3785,-0.1152712,-0.4937527,0.1414791,0.8282101,3.043291,21.65891,-44.83355,1001.506
0.279695034,-0.6213878,-0.3783811,-0.115235,-0.4937097,0.1390462,0.8277497,3.043291,21.65891,-44.83355,1001.508
0.282192707,-0.7451168,-0.1995843,-0.1151988,-0.4917807,0.1405698,0.8296483,3.043291,21.65891,-44.83355,1001.508
0.284689903,-0.4970344,-0.08040303,0.06843797,-0.4927692,0.140989,0.8263023,2.688248,20.90472,-45.2664,1001.508
0.287187099,-0.2490299,-0.08037776,0.007216271,-0.493701,0.1385609,0.8277531,2.688248,20.90472,-45.2664,1001.508
0.289684295,-0.4348379,-0.4377083,0.0684142,-0.4976182,0.1395441,0.8349134,2.688248,20.90472,-45.2664,1001.508
0.292181969,-0.4966634,-0.08021501,-0.05400769,-0.4961285,0.1381004,0.8334898,2.688248,20.90472,-45.2664,1001.508
0.294679165,-0.4345453,-0.0801898,0.00720948,-0.4947101,0.1405132,0.8301282,2.688248,20.90472,-45.2664,1001.508
0.297176361,-0.3104846,-0.1992832,-0.05399299,-0.4948243,0.1468028,0.8286504,2.688248,20.90472,-45.2664,1001.508
0.299673557,-0.1245008,-0.3183392,0.007224176,-0.4933294,0.1454364,0.8329582,2.688248,20.90472,-45.2664,1001.508
0.302171230,-0.2483858,-0.1395613,0.007221907,-0.496353,0.1507374,0.8348328,2.688248,20.90472,-45.2664,1001.508
